Index,Character
0973,销 销子 xiao1zi pin 销售 xiao1shou4 sales
1747,牲 牲畜 sheng1chu4 livestock
0785,社 社会 she4hui4 society
0162,渴 口渴 kou3ke3 thirsty
1272,躲 躲藏 duo3cang2 hide
0070,第
0247,她
0322,如
1551,忧 忧郁 you1yu4 melancholy
1005,恶 恶心 e3xin1 nausea
1663,梅 梅花 mei2hua2 plum blossom
1004,炼 锻炼 duan4lian4 exercise 锻 forge 炼 refine
0000,柬 请柬 qing3jian3 invitation
1226,猜 猜想 cai1xiang3 guess 犭青 相心
1383,肤 肤浅 fu1qian3 superficial 月夫 氵戋 膚淺
0000,胃 胃口 wei4kou3 appetite
1673,墓 墓地 mu4di4 cemetery 艹日大土
0792,每
0554,往 亻生
1196,治 治疗 zhi4liao2 treat 氵台 疒了 治療 疒大日小liao4
0529,食
1720,素 素菜 su4cai4 vegetable dish 幺么纟糸 丰糸
0722,哈
0561,雪
0538,它
0849,整 整齐 zheng3qi2 neat 整齊 亠刀丫氏月 ya1 丫
0495,猫 猫娘 mao1niang2 孃
0000,良 善良 shan4liang2 kind
0000,襄 襄助 xiang1zhu4 assist
0613,证 保证 bao3zheng4 guarantee 言登
1621,跃 跃进 yue4jin4 leap forward 足夭 足羽隹 辶隹
0530,使
1574,犯 侵犯 qin1fan4 violate
1258,熊 熊猫 xiong2mao1 panda
1452,奈 奈米 nai4mi3 nanometer
1299,泛 泛滥 fan4lan4 flood 泛藍
0000,监 监狱 jian1yu4 prison 監獄
0471,堂 天堂 tian1tang2 heaven
1604,湾 台湾 tai2wan1 Taiwan 台灣 言
0289,找 
1562,渡 渡船 du4chuan2 ferry
0000,摆 摆上 bai3shang4 put on 扌四能
0892,支 支持 zhi1chi2 support
0000,寺 少林寺 shao4lin2si4 Shaolin Temple
0620,达 表达 biao3da2 express 表達
1301,柜 柜台 gui4tai2 counter 木匚贵
0855,土
1487,振 振动 zhen4dong4 vibrate 扌辰云力
1356,润 润滑 run4hua2 lubricate 氵闰氵骨 潤滑
1303,籍 国籍 guo2ji2 nationality 竹耒错
0352,为 為
0551,完
0065,等
1666,棉 棉花 mian2hua1 cotton
0324,必
1481,暂 暂时 zan4shi2 temporary 日斩
1242,丑 丑陋 chou3lou4 ugly
0251,馆
1594,孤 孤独 gu1du2 lonely 孤獨
0611,存
0834,深 深刻 shen1ke4 profound 氵罙
0679,止
1767,仪 儀式 yi2shi4 ceremony 人羊我 儀式 抗議
1596,刮 刮风 gua1feng1 windy 颳風
0029,大
1204,摩 摩托车 mo2tuo1che1 motorcycle 扌麻 摩托車
1313,慌 慌张 huang1zhang1 flustered
0135,回
1159,无
1255,扰 打扰 da3rao3 disturb 扌尤
0660,刀
0593,晨 早晨 zao3chen2 morning
0767,精 精神 jing1shen2 spirit
1494,紫 紫色 zi3se4 purple
0650,传 传统 chuan2tong3 tradition
0555,味 味道 wei4dao4 taste
1752,麦 麦子 mai4zi wheat 
